height,weight,male,earn,earnk,ethnicity,education,mother_education,father_education,walk,exercise,smokenow,tense,angry,age
66,130.0,0,20000.0,20.0,White,11.0,11.0,11.0,8,1,1.0,0.0,0.0,45
60,100.0,0,0.0,0.0,White,12.0,12.0,12.0,4,2,1.0,7.0,7.0,27
65,123.0,0,25000.0,25.0,White,12.0,12.0,12.0,1,4,1.0,0.0,0.0,41
66,130.0,0,22000.0,22.0,White,16.0,16.0,16.0,5,1,2.0,1.0,1.0,35
65,120.0,0,25000.0,25.0,White,16.0,16.0,16.0,5,4,2.0,1.0,1.0,29
71,160.0,1,20000.0,20.0,White,14.0,14.0,14.0,7,4,2.0,0.0,0.0,22
68,172.0,1,17000.0,17.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,58
68,135.0,0,40000.0,40.0,White,14.0,14.0,14.0,8,7,2.0,1.0,1.0,29
70,180.0,1,44000.0,44.0,White,13.0,13.0,13.0,8,2,2.0,4.0,4.0,44
67,112.0,0,0.0,0.0,White,9.0,9.0,9.0,1,1,1.0,0.0,0.0,21
64,240.0,0,7000.0,7.0,Black,12.0,12.0,12.0,8,1,2.0,4.0,4.0,55
73,190.0,1,53000.0,53.0,Black,13.0,13.0,13.0,6,7,2.0,2.0,2.0,35
64,145.0,0,5000.0,5.0,Black,12.0,13.6,13.7,3,1,1.0,7.0,7.0,23
62,120.0,0,5000.0,5.0,White,13.0,13.0,13.0,2,1,1.0,0.0,0.0,51
63,114.0,0,14000.0,14.0,White,14.0,14.0,14.0,5,3,2.0,0.0,0.0,21
69,170.0,1,45000.0,45.0,White,14.0,14.0,14.0,8,7,2.0,1.0,1.0,36
67,166.0,1,5500.0,5.5,White,14.0,14.0,14.0,6,7,2.0,0.0,0.0,22
66,124.0,0,40000.0,40.0,White,12.0,12.0,12.0,4,4,2.0,0.0,0.0,41
72,175.0,1,34000.0,34.0,White,12.0,12.0,13.7,2,1,2.0,0.0,0.0,45
63,120.0,0,5000.0,5.0,Black,12.0,12.0,12.0,4,1,1.0,7.0,7.0,23
63,184.0,0,10000.0,10.0,Black,12.0,12.0,12.0,8,3,2.0,3.0,3.0,35
68,150.0,1,0.0,0.0,White,11.0,11.0,13.7,2,7,1.0,1.0,1.0,21
64,150.0,0,27000.0,27.0,White,16.0,16.0,16.0,2,1,1.0,0.0,0.0,60
73,220.0,1,62000.0,62.0,White,14.0,14.0,13.7,8,1,2.0,2.0,2.0,44
67,220.0,0,15000.0,15.0,White,12.0,12.0,12.0,1,1,2.0,0.0,0.0,69
60,156.3,0,0.0,0.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,44
72,180.0,1,50000.0,50.0,White,16.0,16.0,16.0,5,6,2.0,1.0,1.0,38
68,158.0,0,0.0,0.0,White,12.0,13.6,13.7,3,1,2.0,0.0,0.0,55
77,255.0,1,41000.0,41.0,White,16.0,16.0,16.0,7,7,2.0,0.0,0.0,33
64,150.0,0,0.0,0.0,White,10.0,10.0,10.0,8,1,2.0,0.0,0.0,19
64,130.0,0,15000.0,15.0,White,14.0,14.0,14.0,4,1,2.0,3.0,3.0,25
64,156.3,0,25000.0,25.0,White,12.0,12.0,12.0,1,5,2.0,7.0,7.0,33
63,146.0,0,25000.0,25.0,White,16.0,16.0,16.0,5,1,2.0,1.0,1.0,72
72,185.0,1,75000.0,75.0,White,17.0,17.0,17.0,8,5,2.0,4.0,4.0,39
68,180.0,1,27000.0,27.0,White,17.0,17.0,17.0,5,2,2.0,0.0,0.0,31
64,135.0,0,12000.0,12.0,White,12.0,12.0,12.0,8,1,2.0,7.0,7.0,26
70,168.0,1,40000.0,40.0,White,12.0,12.0,12.0,7,3,2.0,0.0,0.0,51
61,138.0,0,7500.0,7.5,White,14.0,14.0,14.0,8,1,1.0,0.0,0.0,78
65,115.0,0,25000.0,25.0,White,12.0,12.0,12.0,7,2,1.0,0.0,0.0,46
67,135.0,0,30000.0,30.0,Black,14.0,14.0,14.0,8,6,2.0,7.0,7.0,31
65,150.0,0,21000.0,21.0,White,12.0,12.0,12.0,8,1,1.0,0.0,0.0,57
64,120.0,0,27000.0,27.0,White,14.0,14.0,14.0,5,1,2.0,0.0,0.0,26
73,165.0,1,45000.0,45.0,White,16.0,16.0,16.0,7,2,1.0,0.0,0.0,44
67,130.0,0,3000.0,3.0,White,15.0,15.0,15.0,1,1,2.0,1.0,1.0,65
65,170.0,0,25000.0,25.0,White,12.0,12.0,12.0,8,7,2.0,2.0,2.0,30
65,140.0,0,24000.0,24.0,White,12.0,12.0,12.0,1,7,2.0,1.0,1.0,41
67,145.0,0,32000.0,32.0,White,18.0,18.0,18.0,4,5,1.0,1.0,1.0,29
68,145.0,0,10000.0,10.0,White,17.0,17.0,17.0,7,2,2.0,1.0,1.0,30
70,150.0,0,0.0,0.0,White,12.0,12.0,12.0,5,1,2.0,0.0,0.0,57
60,100.0,0,11000.0,11.0,Hispanic,12.0,12.0,12.0,2,1,2.0,0.0,0.0,21
65,105.0,0,18700.0,18.7,White,13.0,13.0,13.0,5,6,2.0,0.0,0.0,32
62,120.0,0,20000.0,20.0,White,12.0,12.0,12.0,2,1,1.0,7.0,7.0,29
72,160.0,1,3500.0,3.5,White,10.0,10.0,10.0,4,7,2.0,0.0,0.0,18
67,206.0,1,13000.0,13.0,Black,8.0,8.0,8.0,8,1,2.0,5.0,5.0,56
70,170.0,1,25000.0,25.0,White,12.0,12.0,12.0,1,1,2.0,0.0,0.0,65
70,183.0,1,21000.0,21.0,White,17.0,17.0,17.0,5,5,2.0,0.0,0.0,41
68,150.0,0,34000.0,34.0,White,17.0,17.0,17.0,5,5,2.0,2.0,2.0,49
66,115.0,0,5000.0,5.0,Black,12.0,12.0,12.0,7,4,2.0,1.0,1.0,23
60,120.0,0,6000.0,6.0,White,12.0,12.0,12.0,1,1,1.0,0.0,0.0,65
71,195.0,1,17000.0,17.0,White,12.0,12.0,12.0,8,7,1.0,1.0,1.0,28
71,140.0,1,35000.0,35.0,White,12.0,13.6,13.7,1,2,1.0,0.0,0.0,32
73,180.0,1,4000.0,4.0,White,13.0,13.0,13.0,6,6,2.0,0.0,0.0,18
64,115.0,0,5000.0,5.0,White,16.0,16.0,16.0,8,6,2.0,1.0,1.0,22
68,150.0,0,14000.0,14.0,White,14.0,14.0,14.0,4,1,2.0,0.0,0.0,55
66,118.0,0,10000.0,10.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,57
69,155.0,1,25000.0,25.0,White,16.0,16.0,16.0,2,6,2.0,4.0,4.0,29
63,126.0,0,0.0,0.0,White,8.0,13.6,8.0,1,1,1.0,0.0,0.0,63
70,130.0,1,87000.0,87.0,White,18.0,18.0,18.0,1,1,2.0,0.0,0.0,60
63,130.0,0,16000.0,16.0,White,14.0,14.0,14.0,4,6,2.0,0.0,0.0,27
66,123.0,0,0.0,0.0,Black,13.0,13.0,13.0,8,3,2.0,1.0,1.0,30
66,110.0,0,15000.0,15.0,White,12.0,12.0,12.0,5,2,2.0,2.0,2.0,33
64,200.0,0,0.0,0.0,White,12.0,13.6,13.7,4,1,2.0,3.0,3.0,26
62,130.0,1,16000.0,16.0,Hispanic,14.0,14.0,13.7,1,1,2.0,0.0,0.0,28
66,190.0,0,25000.0,25.0,White,18.0,18.0,18.0,8,2,2.0,0.0,0.0,67
64,116.0,0,16500.0,16.5,White,14.0,14.0,14.0,8,7,2.0,5.0,5.0,43
68,170.0,1,15000.0,15.0,White,12.0,12.0,12.0,3,7,1.0,0.0,0.0,73
64,190.0,0,4000.0,4.0,White,9.0,9.0,13.7,2,1,2.0,0.0,0.0,68
67,342.0,0,3840.0,3.84,White,9.0,9.0,13.7,5,1,2.0,0.0,0.0,52
60,90.0,0,5000.0,5.0,White,6.0,13.6,13.7,1,1,2.0,0.0,0.0,78
71,200.0,1,22000.0,22.0,White,12.0,12.0,12.0,1,6,2.0,0.0,0.0,39
60,135.0,0,200.0,0.2,White,16.0,16.0,16.0,8,1,2.0,3.0,3.0,53
66,140.0,0,26000.0,26.0,White,16.0,16.0,16.0,2,5,2.0,3.0,3.0,27
66,120.0,0,2500.0,2.5,White,15.0,15.0,15.0,1,1,2.0,2.0,2.0,21
65,125.0,0,17000.0,17.0,White,14.0,14.0,14.0,1,1,2.0,0.0,0.0,39
63,112.0,0,25000.0,25.0,White,16.0,16.0,16.0,4,5,2.0,0.0,0.0,35
70,130.0,0,8000.0,8.0,White,13.0,13.0,13.0,8,7,2.0,1.0,1.0,22
68,215.0,1,25000.0,25.0,White,12.0,13.6,12.0,1,3,2.0,0.0,0.0,31
65,98.0,0,0.0,0.0,White,13.0,13.0,13.0,7,1,2.0,0.0,0.0,63
66,138.0,0,12000.0,12.0,White,13.0,13.0,13.0,4,1,1.0,0.0,0.0,68
62,123.0,0,10000.0,10.0,White,12.0,12.0,12.0,8,6,1.0,0.0,0.0,47
60,105.0,0,5000.0,5.0,White,8.0,8.0,8.0,7,1,2.0,0.0,0.0,77
76,220.0,1,100000.0,100.0,White,16.0,16.0,16.0,3,6,2.0,0.0,0.0,51
66,140.0,0,10000.0,10.0,White,15.0,15.0,15.0,8,1,1.0,2.0,2.0,67
64,173.0,0,0.0,0.0,White,14.0,14.0,14.0,4,1,1.0,0.0,0.0,38
72,185.0,1,15000.0,15.0,White,12.0,12.0,12.0,8,2,2.0,0.0,0.0,39
66,190.0,0,45000.0,45.0,Other,12.0,12.0,12.0,8,6,2.0,0.0,0.0,43
69,190.0,1,15000.0,15.0,Black,11.0,13.6,13.7,4,4,2.0,0.0,0.0,73
67,115.0,0,2400.0,2.4,Hispanic,8.0,8.0,8.0,8,4,1.0,1.0,1.0,39
68,150.0,1,30000.0,30.0,Hispanic,12.0,12.0,12.0,4,6,2.0,2.0,2.0,32
70,150.0,1,30000.0,30.0,White,12.0,12.0,12.0,5,6,2.0,1.0,1.0,33
62,125.0,0,10000.0,10.0,White,12.0,12.0,12.0,6,4,2.0,5.0,5.0,38
63,137.0,0,5000.0,5.0,White,13.0,13.0,13.0,7,2,1.0,0.0,0.0,26
66,125.0,0,12000.0,12.0,White,13.0,13.0,13.0,1,1,2.0,5.0,5.0,63
70,80.0,0,20000.0,20.0,White,10.0,10.0,10.0,2,1,2.0,0.0,0.0,61
68,160.0,0,20000.0,20.0,White,12.0,12.0,12.0,3,1,2.0,1.0,1.0,36
70,160.0,1,20000.0,20.0,White,14.0,14.0,14.0,8,7,2.0,0.0,0.0,23
65,125.0,0,25000.0,25.0,White,18.0,18.0,18.0,8,7,2.0,1.0,1.0,57
68,110.0,0,5000.0,5.0,White,8.0,13.6,13.7,1,4,2.0,0.0,0.0,82
66,133.0,0,0.0,0.0,White,12.0,12.0,12.0,3,1,2.0,4.0,4.0,59
71,180.0,1,25000.0,25.0,White,18.0,18.0,18.0,8,1,2.0,0.0,0.0,76
66,135.0,0,1200.0,1.2,White,12.0,12.0,12.0,7,7,2.0,2.0,2.0,20
62,130.0,0,5000.0,5.0,White,12.0,12.0,13.7,6,4,2.0,0.0,0.0,69
68,120.0,0,700.0,0.7,White,16.0,16.0,16.0,4,5,2.0,0.0,0.0,32
70,150.0,1,20000.0,20.0,White,16.0,16.0,16.0,1,4,1.0,0.0,0.0,27
61,110.0,0,10000.0,10.0,Hispanic,12.0,12.0,12.0,8,6,1.0,0.0,0.0,22
63,128.0,0,30000.0,30.0,White,12.0,12.0,12.0,7,7,2.0,0.0,0.0,73
72,185.0,1,25000.0,25.0,Hispanic,8.0,13.6,13.7,8,1,2.0,0.0,0.0,63
64,200.0,0,40000.0,40.0,White,14.0,14.0,13.7,8,7,2.0,0.0,0.0,56
67,155.0,1,25000.0,25.0,White,12.0,13.6,13.7,8,7,2.0,0.0,0.0,89
66,135.0,0,45000.0,45.0,White,18.0,18.0,18.0,5,2,2.0,0.0,0.0,65
61,130.0,0,10000.0,10.0,White,17.0,17.0,17.0,7,1,2.0,0.0,0.0,79
69,132.0,0,60000.0,60.0,White,18.0,18.0,18.0,8,1,2.0,0.0,0.0,63
62,103.0,0,45000.0,45.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,56
64,150.0,0,0.0,0.0,White,12.0,13.6,13.7,4,7,2.0,3.0,3.0,21
68,130.0,0,18000.0,18.0,White,12.0,12.0,12.0,7,1,1.0,0.0,0.0,66
60,128.0,0,15000.0,15.0,White,12.0,13.6,13.7,4,5,2.0,5.0,5.0,74
71,155.0,1,50000.0,50.0,White,18.0,18.0,18.0,8,3,2.0,1.0,1.0,42
64,155.0,0,16040.0,16.04,White,12.0,13.6,13.7,8,1,2.0,3.0,3.0,33
67,140.0,0,15000.0,15.0,Black,14.0,14.0,14.0,8,1,1.0,7.0,7.0,30
69,160.0,1,10000.0,10.0,White,17.0,17.0,13.7,1,7,2.0,2.0,2.0,23
67,185.0,0,33000.0,33.0,White,13.0,13.0,13.0,2,1,2.0,0.0,0.0,43
68,130.0,0,18000.0,18.0,White,12.0,12.0,12.0,7,7,2.0,0.0,0.0,30
63,105.0,0,15000.0,15.0,White,12.0,12.0,12.0,7,1,2.0,7.0,7.0,37
71,145.0,1,21000.0,21.0,White,12.0,13.6,12.0,4,7,2.0,0.0,0.0,22
64,124.0,0,21000.0,21.0,Black,17.0,17.0,17.0,3,1,2.0,0.0,0.0,43
68,170.0,1,37000.0,37.0,White,11.0,11.0,11.0,4,4,2.0,2.0,2.0,37
68,126.0,0,38000.0,38.0,White,17.0,17.0,17.0,7,6,2.0,2.0,2.0,44
66,142.0,0,17000.0,17.0,Hispanic,14.0,14.0,14.0,4,4,1.0,0.0,0.0,43
66,130.0,0,0.0,0.0,White,12.0,12.0,12.0,4,3,1.0,2.0,2.0,29
66,130.0,0,0.0,0.0,Other,16.0,16.0,16.0,8,2,2.0,0.0,0.0,32
60,100.0,0,15000.0,15.0,White,16.0,16.0,16.0,1,1,2.0,1.0,1.0,91
77,210.0,1,32000.0,32.0,White,16.0,16.0,16.0,1,7,2.0,1.0,1.0,30
67,160.0,0,27500.0,27.5,White,12.0,12.0,12.0,4,1,2.0,0.0,0.0,58
66,140.0,1,15000.0,15.0,White,12.0,13.6,13.7,8,1,1.0,0.0,0.0,76
62,120.0,0,16500.0,16.5,White,12.0,12.0,12.0,8,1,1.0,3.0,3.0,44
64,118.0,0,0.0,0.0,White,17.0,17.0,17.0,8,6,2.0,5.0,5.0,30
72,175.0,0,0.0,0.0,White,12.0,12.0,12.0,7,1,2.0,2.0,2.0,51
67,150.0,0,25000.0,25.0,White,18.0,18.0,18.0,7,5,2.0,1.0,1.0,35
61,116.0,0,27000.0,27.0,White,18.0,18.0,18.0,4,7,2.0,2.0,2.0,43
64,220.0,0,5000.0,5.0,White,12.0,13.6,12.0,5,1,1.0,7.0,7.0,28
62,125.0,0,70000.0,70.0,White,16.0,16.0,16.0,8,1,2.0,0.0,0.0,38
63,150.0,0,5000.0,5.0,White,12.0,12.0,12.0,4,5,2.0,2.0,2.0,40
68,135.0,1,5000.0,5.0,White,16.0,16.0,16.0,1,4,2.0,1.0,1.0,24
69,158.0,1,62000.0,62.0,Other,18.0,18.0,18.0,4,1,2.0,1.0,1.0,30
64,160.0,0,15000.0,15.0,Black,12.0,12.0,12.0,8,1,1.0,0.0,0.0,59
64,158.0,0,20000.0,20.0,White,15.0,15.0,15.0,8,4,1.0,0.0,0.0,26
72,185.0,1,4000.0,4.0,White,15.0,15.0,15.0,4,5,1.0,2.0,2.0,21
72,172.0,1,75000.0,75.0,White,12.0,12.0,12.0,7,6,2.0,0.0,0.0,39
64,130.0,0,60000.0,60.0,White,16.0,16.0,16.0,5,1,2.0,2.0,2.0,35
61,150.0,0,5000.0,5.0,White,13.0,13.0,13.0,8,1,2.0,7.0,7.0,31
74,230.0,1,30000.0,30.0,White,12.0,12.0,12.0,7,4,1.0,3.0,3.0,38
70,165.0,1,70000.0,70.0,White,14.0,14.0,14.0,5,4,1.0,2.0,2.0,35
64,115.0,0,5000.0,5.0,White,16.0,16.0,16.0,8,1,2.0,0.0,0.0,60
71,195.0,1,50000.0,50.0,White,16.0,16.0,16.0,8,4,1.0,0.0,0.0,41
63,120.0,0,44000.0,44.0,White,12.0,12.0,12.0,8,6,1.0,0.0,0.0,39
73,215.0,1,40000.0,40.0,White,18.0,18.0,18.0,4,4,1.0,0.0,0.0,40
64,133.0,0,30000.0,30.0,White,14.0,14.0,14.0,4,7,2.0,2.0,2.0,43
73,200.0,1,15000.0,15.0,Black,14.0,14.0,13.7,8,7,2.0,2.0,2.0,24
63,150.0,0,35000.0,35.0,White,15.0,15.0,15.0,6,1,2.0,0.0,0.0,31
62,130.0,0,0.0,0.0,White,16.0,16.0,16.0,5,1,2.0,6.0,6.0,32
62,140.0,0,10000.0,10.0,White,16.0,16.0,16.0,3,1,2.0,7.0,7.0,40
70,170.0,0,23000.0,23.0,White,17.0,17.0,17.0,6,3,2.0,5.0,5.0,42
62,115.0,0,0.0,0.0,White,12.0,12.0,12.0,1,1,2.0,7.0,7.0,39
71,175.0,1,45000.0,45.0,White,17.0,17.0,17.0,6,1,2.0,0.0,0.0,62
71,170.0,1,15000.0,15.0,White,14.0,14.0,14.0,8,6,1.0,0.0,0.0,31
70,169.0,0,4000.0,4.0,White,14.0,14.0,14.0,8,1,2.0,0.0,0.0,71
67,160.0,1,17000.0,17.0,White,14.0,14.0,14.0,1,6,2.0,0.0,0.0,31
64,130.0,0,30000.0,30.0,White,12.0,12.0,12.0,6,4,2.0,3.0,3.0,32
67,112.0,0,27500.0,27.5,White,12.0,12.0,12.0,3,3,1.0,1.0,1.0,30
62,140.0,0,5688.0,5.688,White,8.0,8.0,13.7,6,1,2.0,3.0,3.0,69
62,137.0,0,18000.0,18.0,Hispanic,13.0,13.0,13.0,6,1,2.0,0.0,0.0,56
67,170.0,1,35000.0,35.0,White,14.0,14.0,14.0,6,7,2.0,3.0,3.0,36
66,160.0,0,45000.0,45.0,White,17.0,17.0,17.0,8,1,2.0,0.0,0.0,32
68,185.0,1,43000.0,43.0,Black,13.0,13.0,13.0,7,1,2.0,7.0,7.0,44
62,140.0,0,32000.0,32.0,Black,14.0,14.0,14.0,6,2,2.0,1.0,1.0,44
62,118.0,0,25000.0,25.0,Black,12.0,12.0,13.7,7,7,2.0,0.0,0.0,20
66,148.0,0,0.0,0.0,Black,5.0,5.0,13.7,6,1,2.0,1.0,1.0,51
68,165.0,0,10000.0,10.0,Black,18.0,18.0,18.0,3,2,2.0,4.0,4.0,56
65,130.0,0,50000.0,50.0,Hispanic,12.0,12.0,12.0,8,1,2.0,1.0,1.0,38
74,160.0,1,15000.0,15.0,White,12.0,12.0,12.0,2,5,1.0,3.0,3.0,20
74,185.0,1,60000.0,60.0,White,13.0,13.0,13.0,8,3,1.0,0.0,0.0,45
71,175.0,1,30000.0,30.0,White,15.0,15.0,15.0,1,1,2.0,0.0,0.0,23
68,150.0,0,21000.0,21.0,Other,12.0,12.0,12.0,8,4,2.0,5.0,5.0,50
62,110.0,0,2400.0,2.4,White,16.0,16.0,16.0,3,4,2.0,7.0,7.0,22
68,240.0,0,5000.0,5.0,White,10.0,10.0,10.0,8,7,1.0,0.0,0.0,50
62,150.0,0,35000.0,35.0,Black,15.0,15.0,15.0,2,1,2.0,2.0,2.0,42
66,136.0,0,1000.0,1.0,White,15.0,15.0,15.0,5,7,2.0,0.0,0.0,28
68,170.0,1,27000.0,27.0,White,12.0,12.0,12.0,8,1,1.0,3.0,3.0,27
60,115.0,0,6600.0,6.6,Hispanic,14.0,14.0,14.0,8,6,1.0,2.0,2.0,28
68,164.0,1,16000.0,16.0,White,8.0,8.0,8.0,4,1,2.0,2.0,2.0,43
72,185.0,1,90000.0,90.0,White,12.0,12.0,12.0,8,7,2.0,6.0,6.0,26
66,185.0,0,8000.0,8.0,White,12.0,12.0,13.7,5,2,1.0,0.0,0.0,42
68,150.0,1,20000.0,20.0,White,10.0,13.6,13.7,1,1,2.0,0.0,0.0,32
68,130.0,0,15000.0,15.0,White,12.0,12.0,12.0,6,7,1.0,5.0,5.0,18
69,180.0,0,12000.0,12.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,60
63,170.0,0,25000.0,25.0,White,9.0,9.0,13.7,8,2,2.0,2.0,2.0,67
64,128.0,0,24000.0,24.0,White,16.0,16.0,16.0,7,3,2.0,0.0,0.0,46
65,175.0,0,20000.0,20.0,White,14.0,14.0,14.0,8,3,2.0,0.0,0.0,39
61,128.0,0,19000.0,19.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,46
71,180.0,1,25000.0,25.0,White,8.0,13.6,8.0,3,1,1.0,0.0,0.0,53
72,172.0,1,10000.0,10.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,49
66,125.0,0,40000.0,40.0,White,16.0,16.0,16.0,8,1,1.0,1.0,1.0,34
69,175.0,1,62000.0,62.0,Black,8.0,13.6,13.7,1,1,2.0,0.0,0.0,35
63,105.0,0,25000.0,25.0,Black,13.0,13.0,13.0,7,6,2.0,3.0,3.0,38
62,156.3,0,0.0,0.0,White,10.0,10.0,13.7,8,1,1.0,6.0,6.0,57
60,145.0,0,0.0,0.0,Hispanic,10.0,10.0,13.7,8,1,2.0,0.0,0.0,48
62,138.0,0,10000.0,10.0,White,8.0,13.6,13.7,2,1,2.0,0.0,0.0,88
68,160.0,1,25000.0,25.0,White,14.0,14.0,14.0,8,1,2.0,0.0,0.0,64
70,150.0,1,25000.0,25.0,White,12.0,12.0,13.7,4,6,2.0,0.0,0.0,24
71,165.0,1,25000.0,25.0,White,14.0,14.0,14.0,4,5,1.0,0.0,0.0,32
71,209.0,1,19000.0,19.0,White,16.0,16.0,16.0,8,4,2.0,4.0,4.0,61
68,210.0,1,44000.0,44.0,White,16.0,16.0,16.0,4,4,2.0,2.0,2.0,48
66,145.0,0,0.0,0.0,White,12.0,12.0,12.0,8,6,2.0,0.0,0.0,19
63,140.0,0,0.0,0.0,White,18.0,18.0,18.0,8,1,1.0,0.0,0.0,55
60,105.0,0,15000.0,15.0,White,14.0,14.0,14.0,8,2,1.0,0.0,0.0,49
63,137.0,0,17000.0,17.0,White,12.0,12.0,13.7,5,1,2.0,5.0,5.0,36
68,150.0,1,24000.0,24.0,White,12.0,12.0,12.0,1,1,2.0,0.0,0.0,56
70,150.0,1,50000.0,50.0,White,16.0,16.0,16.0,8,6,2.0,0.0,0.0,38
64,170.0,0,23000.0,23.0,White,12.0,12.0,12.0,8,1,2.0,7.0,7.0,37
70,143.0,1,13000.0,13.0,White,12.0,12.0,12.0,8,7,2.0,0.0,0.0,74
66,178.0,0,20000.0,20.0,Black,13.2,13.6,13.7,8,1,2.0,0.0,0.0,72
66,156.3,0,45000.0,45.0,White,12.0,12.0,12.0,4,7,1.0,7.0,7.0,49
68,180.0,1,65000.0,65.0,White,16.0,16.0,16.0,1,6,2.0,1.0,1.0,46
61,135.0,0,7000.0,7.0,White,12.0,12.0,13.7,4,1,2.0,3.0,3.0,63
68,180.0,1,40000.0,40.0,White,18.0,18.0,18.0,8,2,2.0,0.0,0.0,63
66,145.0,0,15000.0,15.0,White,17.0,17.0,17.0,7,1,2.0,3.0,3.0,43
70,164.0,1,20000.0,20.0,White,16.0,16.0,16.0,5,5,2.0,0.0,0.0,25
68,150.0,1,25000.0,25.0,White,6.0,13.6,13.7,1,1,1.0,0.0,0.0,77
71,175.0,1,20000.0,20.0,White,12.0,12.0,12.0,8,2,2.0,7.0,7.0,50
63,175.0,1,5000.0,5.0,White,9.0,13.6,9.0,2,1,2.0,0.0,0.0,67
65,195.0,0,20000.0,20.0,White,12.0,12.0,12.0,8,1,2.0,0.0,0.0,42
66,150.0,0,25000.0,25.0,White,12.0,12.0,12.0,3,1,2.0,0.0,0.0,49
64,110.0,0,15000.0,15.0,White,14.0,14.0,14.0,8,6,2.0,0.0,0.0,20
70,195.0,1,49000.0,49.0,White,13.0,13.0,13.0,7,7,1.0,0.0,0.0,37
70,165.0,1,25000.0,25.0,White,8.0,8.0,8.0,8,7,1.0,0.0,0.0,24
64,102.0,0,0.0,0.0,White,12.0,13.6,12.0,3,1,2.0,3.0,3.0,36
63,150.0,0,0.0,0.0,White,16.0,16.0,16.0,6,4,2.0,7.0,7.0,35
62,158.0,0,25000.0,25.0,White,12.0,12.0,12.0,5,1,2.0,0.0,0.0,65
65,160.0,0,30000.0,30.0,White,12.0,12.0,12.0,5,1,2.0,0.0,0.0,67
66,142.0,0,25000.0,25.0,White,12.0,12.0,12.0,8,1,2.0,1.0,1.0,62
60,125.0,0,35000.0,35.0,White,16.0,16.0,16.0,8,1,2.0,0.0,0.0,72
66,128.0,0,11000.0,11.0,White,14.0,14.0,14.0,7,1,2.0,0.0,0.0,57
61,160.0,0,16000.0,16.0,White,15.0,15.0,15.0,3,7,2.0,1.0,1.0,38
72,145.0,1,35000.0,35.0,White,14.0,14.0,14.0,1,7,2.0,2.0,2.0,43
74,240.0,1,125000.0,125.0,White,18.0,18.0,18.0,4,1,2.0,7.0,7.0,45
67,185.0,0,23000.0,23.0,White,12.0,12.0,12.0,3,1,1.0,2.0,2.0,47
66,170.0,0,17000.0,17.0,White,16.0,16.0,16.0,1,1,2.0,1.0,1.0,28
62,125.0,0,0.0,0.0,White,13.0,13.0,13.0,2,2,1.0,7.0,7.0,31
62,115.0,0,27000.0,27.0,White,12.0,12.0,12.0,2,1,2.0,3.0,3.0,41
72,180.0,1,70000.0,70.0,White,14.0,14.0,14.0,8,7,2.0,0.0,0.0,32
65,170.0,0,35000.0,35.0,White,15.0,15.0,15.0,8,1,2.0,0.0,0.0,47
60,150.0,0,10000.0,10.0,White,12.0,12.0,12.0,1,1,1.0,3.0,3.0,62
64,107.0,0,15000.0,15.0,White,13.0,13.6,13.0,8,4,1.0,4.0,4.0,30
